unit,country,country_code,year,passengers_carried,carrier_departures,freight_ton_km
Australia,Australia,AUS,1985,14412100.0,238600.0,814.799987793
Australia,Australia,AUS,1986,15497300.0,266600.0,859.299987793
Australia,Australia,AUS,1987,16880200.0,283300.0,990.799987793
Australia,Australia,AUS,1988,18816300.0,294400.0,1027.0999755859
Australia,Australia,AUS,1989,15114300.0,230300.0,1125.3000488281
Australia,Australia,AUS,1990,17553400.0,255900.0,1222.3000488281
Australia,Australia,AUS,1991,21860100.0,283600.0,1222.5999755859
Australia,Australia,AUS,1992,23886600.0,324600.0,1361.5
Australia,Australia,AUS,1993,26929300.0,347700.0,1525.8000488281
Australia,Australia,AUS,1994,26888500.0,405600.0,1645.5
Australia,Australia,AUS,1995,28831400.0,396100.0,1737.5
Australia,Australia,AUS,1996,30075100.0,371200.0,1833.6999511719
Australia,Australia,AUS,1997,30953500.0,394500.0,1953.8000488281
Australia,Australia,AUS,1998,30185700.0,378200.0,1904.4000244141
Australia,Australia,AUS,1999,31579700.0,384800.0,1693.0
Australia,Australia,AUS,2000,32577569.0,382514.0,1730.735
Australia,Australia,AUS,2001,33477398.0,388734.0,1678.089
Australia,Australia,AUS,2002,39021581.0,536867.0,1544.717
Australia,Australia,AUS,2003,41386432.0,529648.0,1355.351
Australia,Australia,AUS,2004,41596552.0,324939.0,1898.071
Australia,Australia,AUS,2005,44657324.0,342509.0,2444.586
Canada,Canada,CAN,1985,19688400.0,351900.0,989.799987793
Canada,Canada,CAN,1986,20378500.0,343000.0,977.0
Canada,Canada,CAN,1987,19946500.0,333800.0,1006.799987793
Canada,Canada,CAN,1988,22379400.0,380900.0,1170.5999755859
Canada,Canada,CAN,1989,21273800.0,370200.0,1311.3000488281
Canada,Canada,CAN,1990,20601400.0,346800.0,1385.3000488281
Canada,Canada,CAN,1991,16586500.0,257800.0,1241.4000244141
Canada,Canada,CAN,1992,16818300.0,258700.0,1249.6999511719
Canada,Canada,CAN,1993,17516500.0,243700.0,1369.1999511719
Canada,Canada,CAN,1994,18104800.0,253500.0,1478.5999755859
Canada,Canada,CAN,1995,20291100.0,282800.0,1637.4000244141
Canada,Canada,CAN,1996,22856000.0,305800.0,1781.0
Canada,Canada,CAN,1997,23981500.0,310800.0,1956.5
Canada,Canada,CAN,1998,24653300.0,317800.0,1805.6999511719
Canada,Canada,CAN,1999,24602000.0,319600.0,1881.5999755859
Canada,Canada,CAN,2000,41767974.0,963468.0,1896.114
Canada,Canada,CAN,2001,40451914.0,982013.0,1709.813
Canada,Canada,CAN,2002,23323029.0,263906.0,1578.027
Canada,Canada,CAN,2003,35884417.0,1036092.0,1496.297
Canada,Canada,CAN,2004,40701307.0,988755.0,1656.579
Canada,Canada,CAN,2005,45229860.0,1018480.0,1526.819
France,France,FRA,1985,24491900.0,261200.0,2873.3000488281
France,France,FRA,1986,25211400.0,274400.0,3079.5
France,France,FRA,1987,27950200.0,314400.0,3385.6000976563
France,France,FRA,1988,30667300.0,368200.0,3681.6000976563
France,France,FRA,1989,33975500.0,393200.0,3819.3000488281
France,France,FRA,1990,35963900.0,441700.0,3995.8000488281
France,France,FRA,1991,33127800.0,408000.0,3778.8000488281
France,France,FRA,1992,33963900.0,413700.0,3840.5
France,France,FRA,1993,35625600.0,459800.0,3717.1000976563
France,France,FRA,1994,38170400.0,479000.0,4385.8999023438
France,France,FRA,1995,36020400.0,482000.0,4577.7001953125
France,France,FRA,1996,41252600.0,549900.0,4842.6000976563
France,France,FRA,1997,43400700.0,667500.0,5132.0
France,France,FRA,1998,42232400.0,691800.0,4773.6000976563
France,France,FRA,1999,49536300.0,748600.0,4968.3999023438
France,France,FRA,2000,52581312.0,811776.0,5224.34
France,France,FRA,2001,50476541.0,777756.0,4825.202
France,France,FRA,2002,49305864.0,734679.0,5030.16
France,France,FRA,2003,47258820.0,695865.0,5067.323
France,France,FRA,2004,48543473.0,682263.0,5584.213
France,France,FRA,2005,52477178.0,728081.0,5802.442
Germany,Germany,DEU,1985,14551300.0,214700.0,2378.5
Germany,Germany,DEU,1986,15174000.0,234100.0,2826.8999023438
Germany,Germany,DEU,1987,17011400.0,269100.0,3247.6999511719
Germany,Germany,DEU,1988,17894900.0,294300.0,3470.0
Germany,Germany,DEU,1989,19056900.0,310800.0,3840.3000488281
Germany,Germany,DEU,1990,22146900.0,344200.0,3994.1999511719
Germany,Germany,DEU,1991,24829500.0,406600.0,4108.7001953125
Germany,Germany,DEU,1992,27577800.0,458000.0,4287.5
Germany,Germany,DEU,1993,29362600.0,459200.0,4639.8999023438
Germany,Germany,DEU,1994,32465300.0,521000.0,5373.2998046875
Germany,Germany,DEU,1995,34680100.0,526600.0,5835.8999023438
Germany,Germany,DEU,1996,40118400.0,566600.0,6036.2998046875
Germany,Germany,DEU,1997,45804500.0,645900.0,6183.8999023438
Germany,Germany,DEU,1998,49279800.0,673300.0,6233.7998046875
Germany,Germany,DEU,1999,54652800.0,709800.0,6610.7001953125
Germany,Germany,DEU,2000,57962865.0,738297.0,7127.713
Germany,Germany,DEU,2001,56389365.0,762178.0,7026.248
Germany,Germany,DEU,2002,61889678.0,796129.0,7195.804
Germany,Germany,DEU,2003,72693124.0,844881.0,7295.67
Germany,Germany,DEU,2004,82099657.0,937143.0,8065.6
Germany,Germany,DEU,2005,90788848.0,1023858.0,7722.133
Italy,Italy,ITA,1985,14408000.0,174700.0,756.5999755859
Italy,Italy,ITA,1986,13811100.0,172400.0,844.0999755859
Italy,Italy,ITA,1987,15268100.0,180100.0,911.5999755859
Italy,Italy,ITA,1988,15649200.0,189700.0,1029.1999511719
Italy,Italy,ITA,1989,17437700.0,214200.0,1118.6999511719
Italy,Italy,ITA,1990,19750000.0,229400.0,1171.3000488281
Italy,Italy,ITA,1991,18846800.0,231500.0,1227.6999511719
Italy,Italy,ITA,1992,21766700.0,261400.0,1270.4000244141
Italy,Italy,ITA,1993,21901400.0,265300.0,1334.9000244141
Italy,Italy,ITA,1994,22959300.0,268900.0,1368.5
Italy,Italy,ITA,1995,23665800.0,280000.0,1469.5999755859
Italy,Italy,ITA,1996,25838500.0,306800.0,1459.0999755859
Italy,Italy,ITA,1997,28183900.0,321400.0,1443.3000488281
Italy,Italy,ITA,1998,27462700.0,338200.0,1475.9000244141
Italy,Italy,ITA,1999,28281000.0,358900.0,1614.5999755859
Italy,Italy,ITA,2000,30418137.0,367584.0,1748.406
Italy,Italy,ITA,2001,31031074.0,393484.0,1521.024
Italy,Italy,ITA,2002,28244627.0,350552.0,1393.803
Italy,Italy,ITA,2003,36345771.0,385911.0,1373.956
Italy,Italy,ITA,2004,35922093.0,382317.0,1393.038
Italy,Italy,ITA,2005,36115764.0,445968.0,1365.128
Japan,Japan,JPN,1985,51294700.0,417800.0,3071.3999023438
Japan,Japan,JPN,1986,52489800.0,433300.0,3608.1000976563
Japan,Japan,JPN,1987,57757700.0,441500.0,4326.2998046875
Japan,Japan,JPN,1988,62087500.0,465400.0,4780.7001953125
Japan,Japan,JPN,1989,69321696.0,468300.0,5128.6000976563
Japan,Japan,JPN,1990,76223800.0,476000.0,5068.7998046875
Japan,Japan,JPN,1991,78719800.0,495800.0,5225.2998046875
Japan,Japan,JPN,1992,81378400.0,473000.0,5185.2001953125
Japan,Japan,JPN,1993,80063904.0,474400.0,5484.2001953125
Japan,Japan,JPN,1994,83913504.0,489300.0,6007.8999023438
Japan,Japan,JPN,1995,91797000.0,535900.0,6538.0
Japan,Japan,JPN,1996,95913504.0,564000.0,6801.2998046875
Japan,Japan,JPN,1997,94997600.0,573300.0,7504.6000976563
Japan,Japan,JPN,1998,101701200.0,636500.0,7514.1000976563
Japan,Japan,JPN,1999,105994496.0,661800.0,8225.599609375
Japan,Japan,JPN,2000,109123312.0,645087.0,8672.048
Japan,Japan,JPN,2001,107823469.0,640328.0,7614.102
Japan,Japan,JPN,2002,109037841.0,647953.0,8204.671
Japan,Japan,JPN,2003,103988547.0,639866.0,8279.576
Japan,Japan,JPN,2004,101740600.0,638430.0,8708.244
Japan,Japan,JPN,2005,102279015.0,651858.0,8549.241
Netherlands,Netherlands,NLD,1985,6027700.0,98700.0,1403.9000244141
Netherlands,Netherlands,NLD,1986,6382000.0,102600.0,1509.4000244141
Netherlands,Netherlands,NLD,1987,7403400.0,118100.0,1734.3000488281
Netherlands,Netherlands,NLD,1988,7860100.0,121700.0,1881.8000488281
Netherlands,Netherlands,NLD,1989,8253400.0,122200.0,2002.9000244141
Netherlands,Netherlands,NLD,1990,8559400.0,115000.0,2129.1000976563
Netherlands,Netherlands,NLD,1991,8893200.0,130500.0,2224.3000488281
Netherlands,Netherlands,NLD,1992,10087800.0,173200.0,2396.8999023438
Netherlands,Netherlands,NLD,1993,11774600.0,189800.0,2770.6999511719
Netherlands,Netherlands,NLD,1994,12894800.0,176800.0,3203.8000488281
Netherlands,Netherlands,NLD,1995,16377900.0,203100.0,3742.1999511719
Netherlands,Netherlands,NLD,1996,17114300.0,206000.0,3902.3999023438
Netherlands,Netherlands,NLD,1997,17889900.0,185700.0,3893.1000976563
Netherlands,Netherlands,NLD,1998,18675500.0,188200.0,3833.3999023438
Netherlands,Netherlands,NLD,1999,19741200.0,224400.0,4053.0
Netherlands,Netherlands,NLD,2000,20898713.0,229386.0,4367.344
Netherlands,Netherlands,NLD,2001,20072980.0,222539.0,4115.852
Netherlands,Netherlands,NLD,2002,22931166.0,250114.0,4203.584
Netherlands,Netherlands,NLD,2003,23454932.0,248246.0,4330.731
Netherlands,Netherlands,NLD,2004,25595676.0,254647.0,4780.432
Netherlands,Netherlands,NLD,2005,26132696.0,241084.0,4893.971
New Zealand,New Zealand,NZL,1985,4158600.0,96200.0,305.3999938965
New Zealand,New Zealand,NZL,1986,4527300.0,93100.0,318.6000061035
New Zealand,New Zealand,NZL,1987,4812300.0,98700.0,335.3999938965
New Zealand,New Zealand,NZL,1988,5093600.0,111500.0,320.299987793
New Zealand,New Zealand,NZL,1989,5723500.0,126500.0,317.3999938965
New Zealand,New Zealand,NZL,1990,5865600.0,128300.0,325.1000061035
New Zealand,New Zealand,NZL,1991,5370800.0,109200.0,379.8999938965
New Zealand,New Zealand,NZL,1992,5784400.0,122900.0,409.8999938965
New Zealand,New Zealand,NZL,1993,6290800.0,123600.0,473.0
New Zealand,New Zealand,NZL,1994,7716100.0,125800.0,555.5999755859
New Zealand,New Zealand,NZL,1995,7676600.0,127600.0,580.299987793
New Zealand,New Zealand,NZL,1996,9597000.0,187400.0,745.0
New Zealand,New Zealand,NZL,1997,9435400.0,256800.0,928.4000244141
New Zealand,New Zealand,NZL,1998,8654900.0,236100.0,826.200012207
New Zealand,New Zealand,NZL,1999,9565600.0,227500.0,855.5999755859
New Zealand,New Zealand,NZL,2000,10781314.0,240046.0,817.137
New Zealand,New Zealand,NZL,2001,11467023.0,266139.0,762.982
New Zealand,New Zealand,NZL,2002,11285424.0,242720.0,687.521
New Zealand,New Zealand,NZL,2003,12259437.0,247388.0,800.524
New Zealand,New Zealand,NZL,2004,11305401.0,196657.0,748.833
New Zealand,New Zealand,NZL,2005,11951935.0,209469.0,781.469
Spain,Spain,ESP,1985,14850700.0,181700.0,522.299987793
Spain,Spain,ESP,1986,15403500.0,180400.0,532.5999755859
Spain,Spain,ESP,1987,16553300.0,183000.0,526.4000244141
Spain,Spain,ESP,1988,18983200.0,207200.0,597.9000244141
Spain,Spain,ESP,1989,20270300.0,225500.0,732.5999755859
Spain,Spain,ESP,1990,21652000.0,244700.0,759.700012207
Spain,Spain,ESP,1991,20944600.0,262600.0,622.799987793
Spain,Spain,ESP,1992,23385800.0,289700.0,584.5999755859
Spain,Spain,ESP,1993,22279400.0,282200.0,553.799987793
Spain,Spain,ESP,1994,22361300.0,282300.0,580.9000244141
Spain,Spain,ESP,1995,25765700.0,313200.0,689.5999755859
Spain,Spain,ESP,1996,27759200.0,332800.0,739.5999755859
Spain,Spain,ESP,1997,30315700.0,370400.0,740.200012207
Spain,Spain,ESP,1998,31594100.0,387900.0,767.0999755859
Spain,Spain,ESP,1999,33559400.0,414200.0,816.0
Spain,Spain,ESP,2000,39711776.0,485856.0,879.499
Spain,Spain,ESP,2001,41469789.0,517481.0,878.871
Spain,Spain,ESP,2002,40380629.0,493019.0,807.417
Spain,Spain,ESP,2003,42506835.0,518836.0,872.739
Spain,Spain,ESP,2004,45539952.0,549963.0,1043.562
Spain,Spain,ESP,2005,49855007.0,586438.0,1021.743
Sweden,Sweden,SWE,1985,7609600.0,150300.0,171.8000030518
Sweden,Sweden,SWE,1986,8713900.0,173100.0,173.6999969482
Sweden,Sweden,SWE,1987,9428800.0,180200.0,169.1999969482
