year,treated,synthetic,effect,effect_pct,period
1985,351900.0,664608.3333333333,-312708.33333333326,-47.05152157285619,pre
1986,343000.0,721425.0,-378425.0,-52.4552101743078,pre
1987,333800.0,759333.3333333333,-425533.33333333326,-56.040386303775236,pre
1988,380900.0,797991.6666666666,-417091.6666666666,-52.26767196817009,pre
1989,370200.0,800091.6666666665,-429891.6666666665,-53.73030173625938,pre
1990,346800.0,842883.3333333333,-496083.33333333326,-58.8555157890574,pre
1991,257800.0,824675.0,-566875.0,-68.73920029102374,pre
1992,258700.0,841125.0,-582425.0,-69.24357259622529,pre
1993,243700.0,836775.0,-593075.0,-70.87628095963669,pre
1994,253500.0,921133.3333333333,-667633.3333333333,-72.47955417239632,pre
1995,282800.0,969441.6666666665,-686641.6666666665,-70.8285697093688,pre
1996,305800.0,1024208.3333333333,-718408.3333333333,-70.14279321427118,post
1997,310800.0,1047958.3333333333,-737158.3333333333,-70.34233231283051,post
1998,317800.0,1052516.6666666665,-734716.6666666665,-69.80570378933034,post
1999,319600.0,1132900.0,-813300.0,-71.78921352281755,post
