year,treated,synthetic,effect,effect_pct,period
1985,95.56826235110235,73.76780813668374,21.800454214418608,29.552801913301714,pre
1986,98.9180346966711,83.16939327813327,15.74864141853783,18.935621384024728,pre
1987,96.82108982884658,89.22942900513769,7.591660823708892,8.508023539265029,pre
1988,108.63048142359257,93.88233309978698,14.748148323805594,15.70918386543491,pre
1989,103.2638558544565,96.43358235167358,6.830273502782916,7.08287853278571,pre
1990,100.0,100.00000000010803,-1.0803091754496563e-10,-1.0803091754484892e-10,pre
1991,80.5115186346559,92.03594137421175,-11.524422739555845,-12.521654657389055,pre
1992,81.63668488549321,94.1321830587429,-12.495498173249686,-13.274416641810918,pre
1993,85.02577494733367,93.61908342102087,-8.593308473687202,-9.179013679338901,pre
1994,87.88140611803081,103.23964059207073,-15.358234474039918,-14.876295951789182,pre
1995,98.49379168406031,99.91090361134205,-1.4171119272817378,-1.4183756487623889,pre
1996,110.94391643286379,105.7507160135774,5.193200419286384,4.910794569579676,post
1997,116.40713737901307,113.97128900904646,2.4358483699666067,2.1372473639157152,post
1998,119.66808081004203,115.9853381455589,3.682742664483129,3.175179486791143,post
1999,119.41906860698788,125.53892038697848,-6.119851779990597,-4.874864114750965,post
