year,treated,synthetic,effect,effect_pct,period
1985,19688400.0,46549942.0,-26861542.0,-57.704780813690384,pre
1986,20378500.0,50653808.0,-30275308.0,-59.76906612825634,pre
1987,19946500.0,54651442.0,-34704942.0,-63.50233540040902,pre
1988,22379400.0,57210292.666666664,-34830892.666666664,-60.88221374710907,pre
1989,21273800.0,58979475.0,-37705675.0,-63.930163840895496,pre
1990,20601400.0,61617376.33333333,-41015976.33333333,-66.5656001181355,pre
1991,16586500.0,60439175.333333336,-43852675.333333336,-72.55670695617147,pre
1992,16818300.0,63399582.66666666,-46581282.66666666,-73.4725383155519,pre
1993,17516500.0,64434384.666666664,-46917884.666666664,-72.8149805563959,pre
1994,18104800.0,69826217.0,-51721417.0,-74.07162985787988,pre
1995,20291100.0,73114399.66666666,-52823299.66666666,-72.24746412128327,pre
1996,22856000.0,78608033.66666666,-55752033.66666666,-70.92409142694028,post
1997,23981500.0,81510357.66666666,-57528857.66666666,-70.57858573253797,post
1998,24653300.0,82172831.66666667,-57519531.66666667,-69.99823481804074,post
1999,24602000.0,88511666.66666666,-63909666.66666666,-72.20479409494041,post
