icao,iata,airport_name,country,latitude,longitude,runway,year,length_m,length_ft,measurement_type,current_length_m
AGGH,HIR,Honiara International Airport,SB,-9.428,160.054993,06/24,1985,1760.0,5774.0,modeled,2200.0
AGGH,HIR,Honiara International Airport,SB,-9.428,160.054993,06/24,1990,1838.4,6031.0,modeled,2200.0
AGGH,HIR,Honiara International Airport,SB,-9.428,160.054993,06/24,1995,1887.3,6192.0,modeled,2200.0
AGGH,HIR,Honiara International Airport,SB,-9.428,160.054993,06/24,2000,1929.1,6329.0,modeled,2200.0
AGGH,HIR,Honiara International Airport,SB,-9.428,160.054993,06/24,2005,1966.8,6453.0,modeled,2200.0
AGGH,HIR,Honiara International Airport,SB,-9.428,160.054993,06/24,2010,2001.8,6567.0,modeled,2200.0
AGGH,HIR,Honiara International Airport,SB,-9.428,160.054993,06/24,2015,2034.7,6675.0,modeled,2200.0
AGGH,HIR,Honiara International Airport,SB,-9.428,160.054993,06/24,2020,2066.0,6778.0,modeled,2200.0
AGGH,HIR,Honiara International Airport,SB,-9.428,160.054993,06/24,2024,2090.0,6857.0,modeled,2200.0
ANYN,INU,Nauru International Airport,NR,-0.547893,166.919525,12/30,1985,1720.0,5643.0,modeled,2150.1
ANYN,INU,Nauru International Airport,NR,-0.547893,166.919525,12/30,1990,1796.6,5894.0,modeled,2150.1
ANYN,INU,Nauru International Airport,NR,-0.547893,166.919525,12/30,1995,1844.4,6051.0,modeled,2150.1
ANYN,INU,Nauru International Airport,NR,-0.547893,166.919525,12/30,2000,1885.3,6185.0,modeled,2150.1
ANYN,INU,Nauru International Airport,NR,-0.547893,166.919525,12/30,2005,1922.1,6306.0,modeled,2150.1
ANYN,INU,Nauru International Airport,NR,-0.547893,166.919525,12/30,2010,1956.3,6418.0,modeled,2150.1
ANYN,INU,Nauru International Airport,NR,-0.547893,166.919525,12/30,2015,1988.4,6524.0,modeled,2150.1
ANYN,INU,Nauru International Airport,NR,-0.547893,166.919525,12/30,2020,2019.0,6624.0,modeled,2150.1
ANYN,INU,Nauru International Airport,NR,-0.547893,166.919525,12/30,2024,2042.6,6701.0,modeled,2150.1
AYNZ,LAE,Nadzab Tomodachi International Airport,PG,-6.567995,146.726544,09/27,1985,1950.7,6400.0,modeled,2438.4
AYNZ,LAE,Nadzab Tomodachi International Airport,PG,-6.567995,146.726544,09/27,1990,2037.6,6685.0,modeled,2438.4
AYNZ,LAE,Nadzab Tomodachi International Airport,PG,-6.567995,146.726544,09/27,1995,2091.8,6863.0,modeled,2438.4
AYNZ,LAE,Nadzab Tomodachi International Airport,PG,-6.567995,146.726544,09/27,2000,2138.1,7015.0,modeled,2438.4
AYNZ,LAE,Nadzab Tomodachi International Airport,PG,-6.567995,146.726544,09/27,2005,2179.9,7152.0,modeled,2438.4
AYNZ,LAE,Nadzab Tomodachi International Airport,PG,-6.567995,146.726544,09/27,2010,2218.6,7279.0,modeled,2438.4
AYNZ,LAE,Nadzab Tomodachi International Airport,PG,-6.567995,146.726544,09/27,2015,2255.1,7399.0,modeled,2438.4
AYNZ,LAE,Nadzab Tomodachi International Airport,PG,-6.567995,146.726544,09/27,2020,2289.8,7512.0,modeled,2438.4
AYNZ,LAE,Nadzab Tomodachi International Airport,PG,-6.567995,146.726544,09/27,2024,2316.5,7600.0,modeled,2438.4
AYPY,POM,Port Moresby Jacksons International Airport,PG,-9.443380355834961,147.22000122070312,14L/32R,1985,2199.9,7218.0,modeled,2749.9
AYPY,POM,Port Moresby Jacksons International Airport,PG,-9.443380355834961,147.22000122070312,14L/32R,1990,2297.9,7539.0,modeled,2749.9
AYPY,POM,Port Moresby Jacksons International Airport,PG,-9.443380355834961,147.22000122070312,14L/32R,1995,2359.0,7740.0,modeled,2749.9
AYPY,POM,Port Moresby Jacksons International Airport,PG,-9.443380355834961,147.22000122070312,14L/32R,2000,2411.2,7911.0,modeled,2749.9
AYPY,POM,Port Moresby Jacksons International Airport,PG,-9.443380355834961,147.22000122070312,14L/32R,2005,2458.4,8066.0,modeled,2749.9
AYPY,POM,Port Moresby Jacksons International Airport,PG,-9.443380355834961,147.22000122070312,14L/32R,2010,2502.1,8209.0,modeled,2749.9
AYPY,POM,Port Moresby Jacksons International Airport,PG,-9.443380355834961,147.22000122070312,14L/32R,2015,2543.2,8344.0,modeled,2749.9
AYPY,POM,Port Moresby Jacksons International Airport,PG,-9.443380355834961,147.22000122070312,14L/32R,2020,2582.3,8472.0,modeled,2749.9
AYPY,POM,Port Moresby Jacksons International Airport,PG,-9.443380355834961,147.22000122070312,14L/32R,2024,2612.4,8571.0,modeled,2749.9
AYPY,POM,Port Moresby Jacksons International Airport,PG,-9.443380355834961,147.22000122070312,14R/32L,1985,1127.8,3700.0,modeled,1409.7
AYPY,POM,Port Moresby Jacksons International Airport,PG,-9.443380355834961,147.22000122070312,14R/32L,1990,1178.0,3865.0,modeled,1409.7
AYPY,POM,Port Moresby Jacksons International Airport,PG,-9.443380355834961,147.22000122070312,14R/32L,1995,1209.3,3968.0,modeled,1409.7
